"DisplayName","SystemId","HasVideoHQ"
"Aamber Pegasus","Aamber_Pegasus","True"
"Acorn Archimedes","Acorn_Archimedes","True"
"Acorn Atom","Acorn_Atom","True"
"Acorn BBC Micro","Acorn_BBC_Micro","True"
"Acorn Electron","Acorn_Electron","True"
"Alf TV Game","Alf_TV_Game","False"
"American Laser Games","American_Laser_Games","True"
"Amstrad CPC","Amstrad_CPC","True"
"Amstrad GX4000","Amstrad_GX4000","True"
"APF Imagination Machine","APF_Imagination_Machine","False"
"APF MP-1000","APF_MP_1000","False"
"Apogey BK-01","Apogey_BK_01","False"
"Apple II","Apple_II","True"
"Apple IIGS","Apple_IIGS","False"
"Apple Macintosh","Apple_Macintosh","False"
"ArcadePC","ArcadePC","True"
"Atari 2600","Atari_2600","True"
"Atari 5200","Atari_5200","True"
"Atari 7800","Atari_7800","True"
"Atari 8-bit","Atari_8_bit","True"
"Atari Classics","Atari_Classics","True"
"Atari Jaguar","Atari_Jaguar","True"
"Atari Jaguar CD","Atari_Jaguar_CD","True"
"Atari Lynx","Atari_Lynx","True"
"Atari ST","Atari_ST","True"
"Bally Astrocade","Bally_Astrocade","True"
"Bandai Sufami Turbo","Bandai_Sufami_Turbo","True"
"Bandai WonderSwan","Bandai_WonderSwan","True"
"Bandai WonderSwan Color","Bandai_WonderSwan_Color","True"
"Big Fish Games","Big_Fish_Games","False"
"Camputers Lynx","Camputers_Lynx","False"
"Capcom Classics","Capcom_Classics","True"
"Capcom Play System","Capcom_Play_System","True"
"Capcom Play System II","Capcom_Play_System_II","True"
"Capcom Play System III","Capcom_Play_System_III","True"
"Casio Loopy","Casio_Loopy","True"
"Casio PV-1000","Casio_PV_1000","True"
"Casio PV-2000","Casio_PV_2000","False"
"Coleco ADAM","Coleco_ADAM","False"
"Coleco Vision","Coleco_Vision","True"
"Commodore 128","Commodore_128","False"
"Commodore 16","Commodore_16","False"
"Commodore 64","Commodore_64","True"
"Commodore Amiga","Commodore_Amiga","True"
"Commodore Amiga CD32","Commodore_Amiga_CD32","True"
"Commodore CDTV","Commodore_CDTV","True"
"Commodore MAX Machine","Commodore_MAX_Machine","True"
"Commodore PET","Commodore_PET","False"
"Commodore Plus 4","Commodore_Plus_4","False"
"Commodore VIC-20","Commodore_VIC_20","True"
"Daphne","Daphne","True"
"Data East Classics","Data_East_Classics","True"
"DICE","DICE","True"
"Doujin Soft","Doujin_Soft","False"
"Dragon 32-64","Dragon_32_64","False"
"EACA EG2000 Colour Genie","EACA_EG2000_Colour_Genie","False"
"Elektronika BK 0011","Elektronika_BK_0011","False"
"Emerson Arcadia 2001","Emerson_Arcadia_2001","True"
"Entex Adventure Vision","Entex_Adventure_Vision","True"
"Epoch Game Pocket Computer","Epoch_Game_Pocket_Computer","False"
"Epoch Super Cassette Vision","Epoch_Super_Cassette_Vision","True"
"Examu Ex-Board","Examu_Ex_Board","False"
"Exelvision EXL 100","Exelvision_EXL_100","False"
"Exidy Sorcerer","Exidy_Sorcerer","False"
"Fairchild Channel F","Fairchild_Channel_F","True"
"Final Burn Alpha","Final_Burn_Alpha","False"
"Fujitsu FM Towns","Fujitsu_FM_Towns","False"
"Fujitsu FM-7","Fujitsu_FM_7","False"
"Funtech Super Acan","Funtech_Super_Acan","False"
"Future Pinball","Future_Pinball","True"
"Gamepark GP32","Gamepark_GP32","False"
"GCE Vectrex","GCE_Vectrex","True"
"Genesis Microchip Nuon","Genesis_Microchip_Nuon","False"
"Hartung Game Master","Hartung_Game_Master","True"
"HBMAME","HBMAME","False"
"Hector HRX","Hector_HRX","True"
"Infocom Z-System","Infocom_Z_System","False"
"Interton VC 4000","Interton_VC_4000","True"
"Irem Classics","Irem_Classics","True"
"Jupiter ACE","Jupiter_ACE","False"
"Konami Classics","Konami_Classics","True"
"Konami e-AMUSEMENT","Konami_e_AMUSEMENT","False"
"Konami Handheld","Konami_Handheld","True"
"Konix Multi-System","Konix_Multi_System","False"
"Locomalito","Locomalito","True"
"Lviv PC-01","Lviv_PC_01","False"
"Magnavox Odyssey","Magnavox_Odyssey","False"
"Magnavox Odyssey 2","Magnavox_Odyssey_2","True"
"MAME","MAME","True"
"Matra and Hachette Alice","Matra_and_Hachette_Alice","False"
"Mattel Aquarius","Mattel_Aquarius","False"
"Mattel Intellivision","Mattel_Intellivision","True"
"Mega Duck","Mega_Duck","True"
"Memotech MTX","Memotech_MTX","False"
"MGT Sam Coupe","MGT_Sam_Coupe","True"
"Microsoft DOS","Microsoft_DOS","True"
"Microsoft MX2 Plus","Microsoft_MX2_Plus","False"
"Microsoft Windows","Microsoft_Windows","True"
"Microsoft Windows 3.x","Microsoft_Windows_3_x","True"
"Microsoft Xbox","Microsoft_Xbox","True"
"Microsoft Xbox 360","Microsoft_Xbox_360","True"
"MiSFiT MAME","MiSFiT_MAME","False"
"MSX","MSX","True"
"MSX 2","MSX_2","True"
"MSX 2+","MSX_2_","True"
"MSX Laserdisc","MSX_Laserdisc","True"
"MUGEN","MUGEN","True"
"Namco Classics","Namco_Classics","True"
"Namco System 22","Namco_System_22","True"
"NEC PC-8801","NEC_PC_8801","False"
"NEC PC-9801","NEC_PC_9801","True"
"NEC PC-FX","NEC_PC_FX","True"
"NEC SuperGrafx","NEC_SuperGrafx","True"
"NEC TurboGrafx CD","NEC_TurboGrafx_CD","True"
"NEC TurboGrafx-16","NEC_TurboGrafx_16","True"
"NESiCAxLive","NESiCAxLive","False"
"Nintendo 3DS","Nintendo_3DS","True"
"Nintendo 64DD","Nintendo_64DD","True"
"Nintendo Arcade Systems","Nintendo_Arcade_Systems","True"
"Nintendo Classics","Nintendo_Classics","False"
"Nintendo DS","Nintendo_DS","True"
"Nintendo Dsi","Nintendo_Dsi","False"
"Nintendo Famicom","Nintendo_Famicom","True"
"Nintendo Famicom Disk System","Nintendo_Famicom_Disk_System","True"
"Nintendo Game and Watch","Nintendo_Game_and_Watch","False"
"Nintendo Game Boy","Nintendo_Game_Boy","True"
"Nintendo Game Boy Advance","Nintendo_Game_Boy_Advance","True"
"Nintendo Game Boy Color","Nintendo_Game_Boy_Color","True"
"Nintendo GameCube","Nintendo_GameCube","True"
"Nintendo MSU-1","Nintendo_MSU_1","True"
"Nintendo N64","Nintendo_N64","True"
"Nintendo NES","Nintendo_NES","True"
"Nintendo Pokemon Mini","Nintendo_Pokemon_Mini","True"
"Nintendo Satellaview","Nintendo_Satellaview","False"
